name,longitude,latitude
Lisboa,41.12109487413341,-2.473421776301249
Paris,48.47919175785484,2.506174238529135
Amsterdam,51.42265372893828,10.53736609460338
Copenhague,55.50216124046791,16.65294508528503
Oslo,59.20142609590085,17.06797526733799
Praga,51.75309403082302,18.03619872174016
Viena,48.5454401891088,15.9254006424121
Roma,43.70530953945416,13.88492757086065
Zúrich,47.10034074572653,6.887058533148222
Budapest,46.31723522462451,20.85780811417261
Sarajevo,46.31723522462451,21.11887605967326
Podgorica,44.18862011351073,19.26886924694
Moscú,59.49548239287522,23.64520695488899
Riga,57.34708712457111,23.64520695488899
Minsk,57.34708712457111,24.59727516770361
Chisinau,48.60491153362271,23.02346794147859
Sofía,45.14825868790989,21.70521579983519
Ankara,42.05675322793564,25.88280378175967
Tirana,42.15805277388181,21.66734162771456
